
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
BLM15AG121SN1D                   FB1                              479   1      1   1   1 1           1 0 DVDD_3V             (346-146-13)
BLM15AG121SN1D                   FB1                              479   1      2   2   1 2           2 0 3P3V                (76-222-13)
BLM15AG121SN1D                   FB2                              480   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB2                              480   1      2   2   1 2           2 0 HDMI_PVDD           (346-128-13)
BLM15AG121SN1D                   FB3                              481   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB3                              481   1      2   2   1 2           2 0 HDMI_DVDD           (346-141-13)
BLM15AG121SN1D                   FB4                              482   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB4                              482   1      2   2   1 2           2 0 HDMI_AVDD           (346-151-13)
BLM15AG121SN1D                   FB5                              483   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB5                              483   1      2   2   1 2           2 0 HDMI_BGVDD          (346-147-13)
BLM15AG121SN1D                   FB6                              476   1      1   1   1 1           1 0 AVDDC_18            (293-1-13)
BLM15AG121SN1D                   FB6                              476   1      2   2   1 2           2 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB7                              478   1      1   1   1 1           1 0 RJ45-1P8V           (293-22-13)
BLM15AG121SN1D                   FB7                              478   1      2   2   1 2           2 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB8                              474   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM15AG121SN1D                   FB8                              474   1      2   2   1 2           2 0 1P8V_FLTR_PHY       (293-7-13)
BLM15AG121SN1D                   FB9                              475   1      1   1   1 1           1 0 1P0V                (50-26-13)
BLM15AG121SN1D                   FB9                              475   1      2   2   1 2           2 0 1P0V_FLTR_PHY       (293-16-13)
BLM15AG121SN1D                   FB10                             477   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
BLM15AG121SN1D                   FB10                             477   1      2   2   1 2           2 0 1P8V                (3-14-13)
BLM18SG121TN1D                   FB11                             498   1      1   1   1 1           1 0 1P8V                (3-14-13)
BLM18SG121TN1D                   FB11                             498   1      2   2   1 2           2 0 VCC_XADC            (261-10-13)
BLM18SG121TN1D                   FB12                             499   1      1   1   1 1           1 0 GND                 (3-11-13)
BLM18SG121TN1D                   FB12                             499   1      2   2   1 2           2 0 VREFP_0             (261-15-13)
BLM18SG121TN1D                   FB13                             500   1      1   1   1 1           1 0 ZYNQ_VCCPLL         (50-2-13)
BLM18SG121TN1D                   FB13                             500   1      2   2   1 2           2 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C138                             327   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C138                             327   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C139                             328   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C139                             328   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C140                             329   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C140                             329   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C141                             330   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C141                             330   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C142                             331   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C142                             331   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C143                             332   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C143                             332   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C144                             333   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C144                             333   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C145                             334   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C145                             334   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C146                             335   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C146                             335   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C147                             336   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C147                             336   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C148                             337   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C148                             337   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C149                             338   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C149                             338   1      2   2   1 2           2 0 GND                 (3-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0402_0P1UF_X5R_35V            C150                             339   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C150                             339   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C151                             340   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C151                             340   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C152                             321   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C152                             321   1      2   2   1 2           2 0 GND                 (3-11-13)
