Part Lister output for parallella
Generated on Wednesday, May 09, 2018
 |#    |QTY  |Part Number      |Description                                |Value |Ref Designator  |
----------------------------------------------------------------------------------------------------
 | 1   | 19  |CAP0402_4P7UF_X5 |CAP, 0402, 4.7UF, X5R, 6.3V                |4.7UF |C1-C19          |
 |     |     |R                |                                           |      |                |
 | 2   | 5   |CAP0402_0P047UF_ |CAP, 0402, 0.047UF, X5R, 25V               |0.047 |C20-C24         |
 |     |     |X5R              |                                           |UF    |                |
 | 3   | 18  |CAP0402_10NF_X7R |CAP, 0402, 10NF, X7R, 16V                  |10nF  |C25-C42         |
 |     |     |_16V             |                                           |      |                |
 | 4   | 17  |CAP1210_100UF_X5 |CAP, 1210, 100UF, X5R, 6.3V, LOW ESR       |100uF |C43-C59         |
 |     |     |R_LOESR          |                                           |      |                |
 | 5   | 78  |CAP0402_0P47UF_X |CAP, 0402, 0.47UF, X5R, 16V                |0.47U |C60-C137        |
 |     |     |5R               |                                           |F     |                |
 | 6   | 67  |CAP0402_0P1UF_X5 |CAP, 0402, 0.1UF, X5R, 35V                 |0.1UF |C138-C204       |
 |     |     |R_35V            |                                           |      |                |
 | 7   | 17  |CAP0603_4P7UF_16 |CAP, 0603, 4.7UF, X5R, 16V                 |4.7UF |C205-C221       |
 |     |     |V_X5R            |                                           |      |                |
 | 8   | 13  |CAP0603_10UF_X5R |CAP, 0603, 10UF, X5R, 10V                  |10UF  |C222-C234       |
 | 9   | 4   |CAP0402_6PF_NPO_ |CAP, 0402, 6PF, NPO, 50V                   |6pF   |C235-C238       |
 |     |     |50V              |                                           |      |                |
 | 10  | 2   |CAP0402_2P2UF_X5 |CAP, 0402, 2.2UF, X5R, 6.3V                |2.2UF |C239,C240       |
 |     |     |R                |                                           |      |                |
 | 11  | 10  |CAP0805_10UF_16V |CAP, 0805, 10UF, X5R, 16V                  |10UF  |C241-C250       |
 |     |     |_X5R             |                                           |      |                |
 | 12  | 2   |CAP0805_6800PF_X |CAP, 0805, 6800PF, X7R, 100V               |6800P |C251,C252       |
 |     |     |7R               |                                           |F     |                |
 | 13  | 3   |CAP0603_1UF_X5R  |CAP, 0603, 10UF, X5R, 10V                  |10UF  |C253-C255       |
 | 14  | 2   |LED_0603_5MA_RED |LED, 0603, 5MA, SMT, RED                   |RED   |CR1,CR2         |
 | 15  | 4   |LED_0603_5MA_GRN |LED, 0603, 5MA, SMT, GREEN                 |GREEN |CR3-CR6         |
 | 16  | 1   |DIODE_BAS16XV2T1 |DIODE, SWITCH, 200mA, 75V, SOD523          |      |D1              |
 |     |     |G                |                                           |      |                |
